0.16368	0.02037	0.0017	0.1768	0.00532	0.00543	0.17733	0.00364	0.00665
0.25673	0.04224	-0.00449	0.25435	0.04454	-0.00451	0.26305	0.02835	0.00313
19.377	10.2	-1.277	21.751	6.965	-0.185	23.301	4.1783	1.0864
9.49	5.298	-0.897	8.029	6.077	-0.902	9.1294	4.0058	0.008737
-4.765	-1.343	-0.398	-10.218	3.789	-1.614	-9.6842	2.6475	-1.0091
-24.793	-6.118	0.412	-30.272	-0.094	-1.246	-30.387	-0.01956	-1.2155
-14.35	-9.554	0.978	-18.351	-4.935	-0.382	-19.407	-3.0969	-1.191
-6.279	-10.597	1.639	-8.466	-7.777	0.722	-10.394	-4.3142	-0.8465
6.098	1.499	0.466	10.848	-3.035	1.601	10.041	-1.4328	0.79637
11.843	11.494	-0.546	20.453	2.544	1.914	21.091	1.6003	2.2457
16.01	-4.996	0.316	12.034	-1.388	-0.601	11.211	-0.00443	-1.1857
45.134	-15.485	1.429	40.714	-11.35	0.229	37.427	-5.4789	-2.4249
67.177	-22.998	2.247	64.01	-19.76	1.143	59.022	-10.719	-3.0088
36.027	-13.126	1.424	35.034	-12.258	1.043	32.094	-6.8816	-1.4537
-9.861	1.843	0.061	-6.613	-1.203	0.812	-6.5193	-1.2558	0.77525
-47.506	12.466	-0.77	-37.315	2.943	1.673	-35.571	0.14834	2.7749
-47.784	14.954	-1.321	-38.941	6.753	0.844	-36.258	2.2113	2.7677
-29.76	10.104	-1.091	-25.931	6.314	0	-23.751	2.4878	1.6882
58.759	1.2	0	58.729	1.158	0	59.014	0.7223	0.17281
58.853	0.65	0	58.45	0.809	0	58.446	0.72694	0.078703
61.369	-0.086	0	60.5	0.341	0	60.114	0.77921	-0.094295
62.051	-1.164	0	61.56	-0.877	0	61.177	-0.34102	-0.18905
63.138	-1.168	0	63.076	-1.091	0	62.843	-0.73511	-0.1365
61.875	-1.053	0	62.474	-1.288	0	62.491	-1.1884	-0.099644
59.497	0.296	0	60.251	-0.057	0	60.625	-0.50416	0.11189
59.89	1.142	0	60.678	0.757	0	61.312	-0.092769	0.2705

